Sl.No;Title;Description;Genres;Cast;Director;Production Country;Added to Netflix On;Year;Series;Duration(in Minutes);Season;Rating
2532;The Magic School Bus Rides Again In the Zone;La clase de la Sra. Frizzle ve todos los espectáculos en la gira de Nochevieja de una estrella del pop, aprendiendo sobre zonas horarias mientras asisten a todos sus conciertos la misma noche.;Children & Family Movies;Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Matthew Mucci, Lynsey Pham, Kaden Stephen, Lights;Richard Weston;;December 27, 2020;2020;TV-Y;46;;5.6
2533;AK vs AK;Después de una disputa pública con una estrella de cine, un director deshonrado representa al secuestrar a la hija del actor, filmando la búsqueda de la búsqueda en tiempo real.;Comedies, Dramas, International Movies;Anil Kapoor, Anurag Kashyap;Vikramaditya Motwane;;December 27, 2020;2020;TV-MA;109;;6.8
2534;Isa Pa with Feelings;Cuando un aspirante a arquitecto se enamora de su vecino sordo, desarrollan una conexión y se propusieron formar su propio lenguaje de amor a pesar de sus diferencias.;International Movies, Romantic Movies;Maine Mendoza, Carlo Aquino, Lotlot De Leon, Cris Villanueva, Nikki Valdez, Vangie Labalan, Geleen Eugenio;Prime Cruz;;December 27, 2020;2019;TV-G;102;;7.7
2535;We Can Be Heroes;Cuando los invasores alienígenas capturan los superhéroes de la Tierra, sus hijos deben aprender a trabajar juntos para salvar a sus padres y al planeta.;Children & Family Movies, Comedies;YaYa Gosselin, Pedro Pascal, Priyanka Chopra, Isaiah Russell-Bailey, Akira Akbar, Christian Slater, Boyd Holbrook, Adriana Barraza, Taylor Dooley, Vivien Lyra Blair, Hala Finley, Lyon Daniels, Sung Kang, Christopher McDonald, Andy Walken, Lotus Blossom, Haley Reinhart, Nathan Blair, Dylan Henry Lau, Andrew Diaz;Robert Rodriguez;;December 27, 2020;2020;PG;101;;4.9
2536;Bridezilla;Después de no cumplir para una novia exigente, un planificador de bodas hace un movimiento comercial audaz y lanza la boda del año, por sí misma.;Comedies, Dramas, International Movies;Jessica Mila, Rio Dewanto, Sheila Dara, Rafael Tan, Widyawati, Aimee Saras, Rukman Rosadi, Lucinta Luna;Andibachtiar Yusuf;;December 27, 2020;2019;TV-MA;94;;6.3
2537;Cemara's Family;Después de la bancarrota, Abah y Emak deben adaptarse a una nueva vida con sus hijos en una aldea remota.;Children & Family Movies, Dramas, International Movies;Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan;Yandy Laurens;;December 27, 2020;2018;TV-G;110;;7.8
2538;Hello, Love, Goodbye;En Hong Kong, la vida de dos trabajadores filipinos en el extranjero se entrelazan mientras navegan por deberes diarios, aspiraciones profesionales y posibilidades románticas.;Dramas, International Movies, Romantic Movies;Kathryn Bernardo, Alden Richards, Maymay Entrata, Maricel Laxa, Joross Gamboa, Jameson Blake, Kaka Bautista, Lito Pimentel, Jeffrey Tam, Lovely Abella;Cathy Garcia-Molina;;December 27, 2020;2019;TV-14;117;;7.2
2539;The History of Future Folk;Un extraterrestre ordenó colonizar la Tierra abandona su misión cuando escucha música por primera vez y está decidido a salvar su planeta adoptado.;Action & Adventure, Comedies, Independent Movies;Nils d'Aulaire, Jay Klaitz, Julie Ann Emery, April L. Hernandez, Onata Aprile, Dee Snider;John Mitchell, Jeremy Kipp Walker;;December 27, 2020;2012;TV-14;85;;7.2
2540;The Midnight Sky;A raíz de una catástrofe global, un científico solitario en las carreras del Ártico para contactar a una tripulación de astronautas con una advertencia de no regresar a la tierra.;Dramas;George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck;George Clooney;;December 27, 2020;2020;PG-13;119;;5.4
2541;Your Name Engraved Herein;En 1987, a medida que termina la ley marcial en Taiwán, Jia-Han y Birdy se enamoran en medio de la presión familiar, la homofobia y el estigma social.;Dramas, International Movies, LGBTQ Movies;Edward Chen, Tseng Ching-hua, Leon Dai, Jason Wang, Fabio Grangeon, Mimi Shao, Barry Qu, Erek Lin, Honduras, Lotus Wang;Liu Kuang-hui;;December 27, 2020;2020;TV-MA;115;;7.1
2542;After We Collided;Tessa cayó duro y rápido para Hardin, pero después de que una traición los destroza, debe decidir si seguir adelante, o confiar en él con una segunda oportunidad.;Dramas, Romantic Movies;Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Selma Blair, Louise Lombard, Shane Paul McGhie, Candice King, Charlie Weber, Khadijha Red Thunder, Inanna Sarkis, Pia Mia, Samuel Larsen, Dylan Arnold, Karimah Westbrook, Rob Estes;Roger Kumble;;December 27, 2020;2020;R;105;;4.8
2543;London Hughes: To Catch a D*ck;El comediante y presentador de televisión de Bawdy, London Hughes, vuelve a visitar su pasado en este aclamado especial de brotes lleno de historias sin filtro e historias salvajes.;Stand-Up Comedy;London Hughes;Kristian Mercado;;December 27, 2020;2020;TV-MA;68;;4.9
2544;Lovestruck in the City;Heart robado por una mujer de espíritu libre después de un romance junto a la playa, un arquitecto apasionado se propone reunirse con ella en las calles de Seúl.;International TV Shows, Romantic TV Shows, TV Comedies;Ji Chang-wook, Kim Ji-won, Kim-seok, Han Ji-eun, Ryu Gyeong-soo, So Joo-yeon;;South Korea;December 22, 2020;2020;TV-14;;1 SEASON;7.5
2545;Rhyme Time Town Singalongs;¿Love Snackable, canciones dignas de Snap? ¡Canta junto con los amigos de la ciudad de rima mientras usan su imaginación y flexionan sus habilidades de resolución de problemas!;Kids' TV;Luke Amis, Annabelle Westenholz-Smith, Maddie Evans, Jude Muir, Hannah Jane Fox, Rhashan Stone;;United States;December 22, 2020;2020;TV-Y;;1 SEASON;
2546;Shaun the Sheep;Únase a Shaun Freewheeling para las desgrasadas desaceleraciones con su primo Timmy, el perro pastor gigante Bitzer, el gato celoso Pidsley y sus compañeros de oveja Shirley.;British TV Shows, Kids' TV, TV Comedies;John Sparkes, Justin Fletcher, Kate Harbour, Richard Webber, Jo Allen;;United Kingdom, Finland, Germany, United States, Australia, Japan, France, Ireland;December 22, 2020;2016;TV-Y;;2 SEASONS;8.2
2547;Shaun the Sheep: The Farmer’s Llamas;Un trío de llamadas traviesas de la feria del condado comienza a hacer un desastre de la granja, por lo que Shaun y el rebaño deben encontrar una manera de expulsar a los alborotadores.;Children & Family Movies, Comedies;Justin Fletcher, John Sparkes, Sean Connolly, Chris Grimes;Jay Grace;;December 22, 2020;2020;TV-Y;28;;6.7
2548;Timmy Time;Esta deliciosa serie animada se centra en el cordero impish Timmy cuando entra en la guardería, donde aprende sobre compartir, responsabilidad y equidad.;British TV Shows, Kids' TV;Kate Harbour, Justin Fletcher, Louis Jones;;United Kingdom;December 22, 2020;2010;TV-Y;;1 SEASON;7.1
2549;Ariana grande: excuse me, i love you;Ariana Grande sube al escenario en Londres para su gira World World y comparte una mirada detrás de escena en su vida en el ensayo y en el camino.;Documentaries, Music & Musicals;Ariana Grande;Paul Dugdale;;December 22, 2020;2020;TV-MA;98;;6.1
2550;Mohamed Hussein;La vida de un chofer de hotel de lujo se pone patas arriba cuando inesperadamente se convierte en el foco del proyecto de arte final de un reconocido pintor.;Comedies, International Movies;Mohamed Saad, Samir Sabri, Mai Selim, Dina Mohsen, Bayoumi Fouad, Mohammed Tharwat, Feryal Youssef, Nabil Issa, Ahmed Seyam, Hassan Abdulfattah, Hamdi Al Wazir, Mohamed Shahin;Muhammad Ali;;December 22, 2020;2019;TV-14;96;;4.4
2551;Rhys Nicholson Live at the Athenaeum;Rhys Nicholson flexiona su humor mordaz mientras habla de tranquilizantes de caballos, cartas enojadas de los espectadores y más en este especial de pie.;Stand-Up Comedy;Rhys Nicholson;Thomas Toby Parkinson;;December 22, 2020;2020;TV-MA;66;;7.5
2552;Diamond City;Una fiscalía destacada debe defender su inocencia, y su vida, cuando la organizan y la envían a prisión mientras investiga una conspiración.;Crime TV Shows, International TV Shows, TV Dramas;Noxee Maqashalala, Angela Sithole, Nambitha Ben-Mazwi, Thabang Molaba, Lehlohonolo Makoko, Ilse Klink, Makgano Mamabolo, Tshepo Maseko;;South Africa;December 18, 2020;2019;TV-MA;;1 SEASON;8
2553;Home for Christmas;Cansado de los comentarios constantes sobre el estado de su relación, la sola soltera Johanne comienza una búsqueda de 24 días para un novio para traer a casa para Navidad.;International TV Shows, Romantic TV Shows, TV Comedies;Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen;;Norway;December 18, 2020;2020;TV-MA;;2 SEASONS;7.8
2554;Ma Rainey's Black Bottom;Las tensiones y las temperaturas aumentan en un estudio de música de Chicago en 1927 cuando la fiery, la cantante de Blues, Ma Rainey, se une a su banda para una sesión de grabación.;Dramas, Music & Musicals;Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jonny Coyne, Taylour Paige, Jeremy Shamos, Dusan Brown, Joshua Harto;George C. Wolfe;;December 18, 2020;2020;R;94;;6.7
2555;Ma Rainey's Black Bottom: A Legacy Brought to Screen;Viola Davis, Denzel Washington, George C. Wolfe y más comparten el corazón, el alma y la historia que llevaron a la pantalla el juego atemporal de August Wilson.;Documentaries, Music & Musicals;Glynn Turman, Denzel Washington, George C. Wolfe, Branford Marsalis, Viola Davis, Imani Perry, Michael Potts, Coleman Domingo, Constanza Romero, August Wilson, Todd Black, Dusan Brown, Taylour Paige, Ann Roth, Chadwick Boseman;;;December 18, 2020;2020;TV-PG;32;;
2556;Mukhsin;Cuando el joven Mukhsin llega a una nueva ciudad, la marimacho de 10 años Orked lo adopta como su nueva mejor amiga, y los dos desarrollan una amistad conmovedora que comienza a derramarse en los indicios del primer amor.;Children & Family Movies, Comedies, Dramas;Mohd Syafie Naswip, Sharifah Aryana, Sharifah Aleya, Adibah Noor, Irwan Iskandar, Sallehuddin Abu Bakar;Yasmin Ahmad;;December 18, 2020;2006;TV-PG;98;;7.2
2557;Paava Kadhaigal;A veces oscuro, a veces inquietante, cuatro cortometrajes exploran historias de aquellos que se atreven a soñar y desear, y aquellos decididos a interponerse en su camino.;International TV Shows, TV Dramas;Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran;Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran;;December 18, 2020;2020;TV-MA;;1 SEASON;8.2
2558;Rabun;Una pareja de espíritu libre deja la ciudad para retirarse en el país. Pero cuando son estafados por un pariente, la vida en el campo pierde su brillo.;Dramas, Independent Movies, International Movies;M. Rajoli, Kartina Aziz, Rozie Rashid, Irwan Iskandar, Noor Khiriah, Hafiz Ibrahim;Yasmin Ahmad;;December 18, 2020;2004;TV-PG;85;;7.8
2559;Talentime;Las apuestas son altas, en el escenario y fuera, cuando un grupo de jóvenes músicos talentosos se enfrentan a una competencia de talentos entre escuelas.;Dramas, International Movies, Romantic Movies;Mahesh Jugal Kishor, Pamela Chong Ven Teen, Mohd Syafie Naswip, Jaclyn Victor, Harith Iskander, Mislina Mustaffa, Sukania Venugopal;Yasmin Ahmad;;December 18, 2020;2009;TV-14;120;;7.5
2560;An Unremarkable Christmas;Un contador y aspirante a mago invita a su jefe a pasar la Navidad con su familia, sin darse cuenta de que es uno de los delincuentes más wantados de Colombia.;Comedies, Dramas, International Movies;Antonio Sanint, Luis Eduardo Arango, María Cecilia Sánchez, Mariana Gómez, Julián Cerati, Aura Cristina Geithener, Biassini Segura, Lina Tejeiro, Julio César Herrera, Christian Villamil;Juan Camilo Pinzon;;December 18, 2020;2020;TV-14;83;;3
2561;Eggnoid: Love & Time Portal;Enviado desde el futuro para cuidar a una niña solitaria, Eggy se encuentra enamorada de ella. Pero las citas están prohibidas y arriesgarían ambos destinos.;Dramas, International Movies, Romantic Movies;Morgan Oey, Sheila Dara, Luna Maya, Kevin Julio, Anggika Bolsterli, Reza Nangin, Martin Anugrah, Fatih Unru;Naya Anindita;;December 18, 2020;2019;TV-14;102;;6.4
2562;Love You to the Stars and Back;En busca de extraterrestres, el viaje por carretera de una mujer joven se convierte en un viaje emocional cuando encuentra, y se enamora, un compañero encantador con cáncer.;Comedies, International Movies, Romantic Movies;Julia Barretto, Joshua Garcia, Carmina Villaroel, Cherry Pie Picache, Ariel Rivera, Maricar Reyes, Edgar Allan Guzman, Jelson Bay, Odette Khan;Antoinette Jadaone;;December 18, 2020;2017;TV-14;111;;7.4
2563;Morphle;¡Little Mila convierte el tiempo de juego en una serie de aventuras divertidas y educativas con su mágico morfio para mascotas, que se transforma en todo lo que sueña!;British TV Shows, Kids' TV;;;Netherlands;December 18, 2020;2020;TV-Y;;2 SEASONS;5.3
2564;Run On;Valorando desde su camino preestablecido, una estrella de la pista sigue su propio ritmo y corazón por primera vez después de que un traductor de cine entra en su vida.;International TV Shows, Romantic TV Shows, TV Comedies;Yim Si-wan, Shin Sae-kyeong, Choi Soo-young, Kang Tae-oh, Park Yeong-gyu, Cha Hwa-yeon, Lee Bong-ryeon, Ryu Abell, Seo Jae-hee, Yeon Je-wook, Choi Jae-hyun, Lee Jeong-ha, Park Sung-jun, Lee Hwang-eui, Lee Shin-ki, Kim Dong-yeong, Kim Si-eun, Kim Si-young;;South Korea;December 17, 2020;2020;TV-MA;;1 SEASON;7.4
2565;Sakaling Maging Tayo;Un estudiante universitario aprovecha su oportunidad con un enamoramiento cuando un encuentro inesperado se convierte en una noche de atrevidos, confesiones profundas y posible romance.;International Movies, Romantic Movies;McCoy De Leon, Elisse Joson, Bembol Roco, Chai Fonacier, Paulo Angeles, Markus Paterson, Milo Elmido Jr.;JP Habac;;December 17, 2020;2019;TV-14;90;;7
2566;Schulz Saves America;El comediante Andrew Schulz asume los temas más divisivos del año en este especial de cuatro partes irreverente e irreverente del año.;Stand-Up Comedy & Talk Shows, TV Comedies;Andrew Schulz;Alexx Media;;December 17, 2020;2020;TV-MA;;1 SEASON;7.2
2567;The Wedding Shaman;Después de una traición en el trabajo, un profesional de finanzas se convierte en asistente de un chamán de novia para salvar su única propiedad restante y la vida amorosa.;Dramas, International Movies, Romantic Movies;Atiqah Hasiholan, Tutie Kirana, Arifin Putra, Tio Pakusadewo, Marthino Lio, Oxcel, Dodit Mulyanto;Farishad I. Latjuba;;December 17, 2020;2019;TV-PG;111;;7
2568;Anitta: Made In Honório;En este documental íntimo, la reina del pop brasileña, Anitta, abre la fama, la familia y su feroz ética de trabajo, revelando a la mujer detrás de los éxitos.;Docuseries, International TV Shows;Anitta;Andrucha Waddington, Pedro Waddington;;December 17, 2020;2020;TV-MA;;1 SEASON;7.1
2569;BREAK IT ALL: The History of Rock in Latin America;Soda Stereo, Café Tacvba, Aterciopelados y otros figuran en este historial de 50 años de roca latinoamericana a través de dictaduras, desastres y disidencia.;Docuseries, Spanish-Language TV Shows;;Picky Talarico;;December 17, 2020;2020;TV-MA;;1 SEASON;7.5
2570;Bwakaw;Gruff y solo, el jubilado Rene rechaza la mayoría del contacto humano, pero comienza a suavizarse cuando llega a un acuerdo con su homosexualidad.;Dramas, International Movies, LGBTQ Movies;Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza;Jun Lana;;December 17, 2020;2012;TV-MA;110;;7
2571;Incarnate;Un cazador de demonios poco convencional enfrenta su mayor desafío cuando entra en el subconsciente de un niño poseído por una entidad poderosa.;Horror Movies, Thrillers;Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra;Brad Peyton;;December 17, 2020;2016;PG-13;87;;5.1
2572;Marvel Anime: Wolverine;Logan, también conocido como Mutant X-Man Wolverine, está en una búsqueda para reclamar el amor de su vida, cuyo Crime Señor Padre está planeando un matrimonio arreglado para ella.;Anime Series, International TV Shows;Rikiya Koyama, Romi Park, Fumiko Orikasa, Hidekatsu Shibata, Kazuki Yao, Masato Hagiwara;;United States, Japan;December 16, 2020;2011;TV-14;;1 SEASON;6.3
2573;Marvel Anime: X-Men;Un año después de su disolución, los X-Men son reensamblados por el profesor Charles Xavier para investigar el secuestro de mutantes jóvenes en Japón.;Anime Series, International TV Shows;Toshiyuki Morikawa, Rikiya Koyama, Katsunosuke Hori, Aya Hisakawa, Kaori Yamagata, Yoshiko Sakakibara, Yurika Hino, Yukari Tamura, Hideyuki Tanaka;;Japan;December 16, 2020;2011;TV-14;;1 SEASON;6.6
2574;Nocturnal Animals;Leer el manuscrito de la novela violenta de su ex marido desestabiliza la vida del propietario de la galería Susan, volcando su regalo mientras desenterran su pasado.;Dramas, Thrillers;Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson, Isla Fisher, Ellie Bamber, Armie Hammer, Karl Glusman, Laura Linney, Michael Sheen, Andrea Riseborough;Tom Ford;;December 16, 2020;2016;R;117;;7.4
2575;The Ripper;A fines de la década de 1970, la policía británica lucha por identificar, y mucho menos capturar, el asesino en serie conocido en todo el mundo como el Destripador de Yorkshire.;British TV Shows, Crime TV Shows, Docuseries;;Ellena Wood, Jesse Vile;United Kingdom;December 16, 2020;2020;TV-MA;;1 SEASON;7
2576;Vir Das: Outside In - The Lockdown Special;Las bromas en el escenario adquieren un significado diferente, más profundo, a medida que el comediante realiza programas en línea con los espectadores en casa en todo el mundo desde su residencia de Mumbai.;Stand-Up Comedy;Vir Das;Vir Das;;December 16, 2020;2020;TV-MA;50;;6.2
2577;Black Ink Crew New York;En un punto de acceso de propiedad negra y operada para tinta en Harlem, el tatuaje del rey Ceaser busca expandir su imperio mientras trabaja con una tripulación revolta.;Reality TV;Ceaser Emanuel, Dutchess Lattimore, Puma Robinson, Alex Estevez, Sassy Bermudez;;United States;December 15, 2020;2016;TV-14;;2 SEASONS;4.4
2578;Grizzlies;Un grupo de estudiantes descontentos forman un vínculo poco probable a través del juego de lacrosse cuando un nuevo maestro presenta el deporte a su remota ciudad del Ártico.;Dramas, Independent Movies, Sports Movies;Ben Schnetzer, Emerald MacDonald, Booboo Stewart, Will Sasso, Paul Nutarariaq, Ricky Marty-Pahtaykan, Tantoo Cardinal, Eric Schweig;Miranda de Pencier;;December 15, 2020;2018;R;106;;7.3
2579;Pup Academy;Furry Friends emprenden un viaje reenvidente en esta serie sobre una escuela extraordinaria para los cachorros más lindos, más cómodos y más curiosos.;Kids' TV, TV Comedies;Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell;;United States;December 15, 2020;2020;TV-Y;;2 SEASONS;6.3
2580;Song Exploder;Inspírate a medida que los músicos profundizan en el proceso creativo de composición de canciones y revelen sus pensamientos íntimos en una serie basada en el podcast exitoso.;Docuseries;Hrishikesh Hirway;;United States;December 15, 2020;2020;TV-MA;;2 SEASONS;7.3
2581;Teen Mom 2;"Los altibajos de la nueva crianza de los hijos y la adultos crean drama y angustia a medida que avanza la vida para el elenco de la temporada 2 de ""16 y embarazadas"".";Reality TV;Jenelle Evans, Chelsea Houska, Kailyn Lowry, Leah Messer;;United States;December 15, 2020;2013;TV-14;;2 SEASONS;3.9
2582;The Challenge;Los alumnos del reality show deben competir en concursos físicos agotadores y sobrevivir a las eliminaciones en medio de alianzas y conexiones humeantes para ganar mucho dinero.;Reality TV;"Jamie Chung, Landon Lueck, Diem Brown, Mike 'The Miz' Mizanin, Darrell Taylor, Wes Bergmann, Jodi Weatherton, Brad Fiorenza, Cara Maria Sorbello, Zachary Nichols, Turabi ""Turbo"" Çamk?ran, Theo Campbell";;United States;December 15, 2020;2014;TV-14;;2 SEASONS;7.7
2583;A California Christmas;Con su estilo de vida despreocupado en la línea, un encantador rico se hace pasar por un rancho para que un agricultor trabajador venda las tierras de su familia antes de Navidad.;Comedies, Romantic Movies;Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer;Shaun Paul Piccinino;;December 15, 2020;2020;PG-13;107;;5.9
2584;Hilda;Hilda intrépida y de espíritu libre encuentra nuevos amigos, aventuras y criaturas mágicas cuando deja su hogar encantado en casa y viajes a la ciudad.;Kids' TV;Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker;;United Kingdom, Canada, United States;December 14, 2020;2021;TV-Y7;;2 SEASONS;8.5
2585;Tiny Pretty Things;Cuando un ataque derriba al estudiante estrella en una escuela de ballet de élite, su reemplazo ingresa a un mundo de mentiras, traición y competencia cuthroat.;TV Dramas, TV Mysteries, TV Thrillers;Lauren Holly, Kylie Jefferson, Casimere Jollette, Brennan Clost, Barton Cowperthwaite, Bayardo De Murguia, Damon J. Gillespie, Anna Maiche, Daniela Norman, Michael Hsu Rosen, Tory Trowbridge;;United States;December 14, 2020;2020;TV-MA;;1 SEASON;6
2586;The Netflix Afterparty: The Best Shows of The Worst Year;"David Spade, Fortune Feimster y London Hughes dan la bienvenida a los invitados de ""Tiger King"", ""Emily in Paris"", ""The Queen's Gambit"" y más. Además: Kevin Hart.";Comedies;David Spade, London Hughes, Fortune Feimster;;United States;December 13, 2020;2020;TV-MA;59;;4.6
2587;Children of Adam;En medio del crimen y la corrupción, la vida de dos parejas se entrelazan cuando eventos inesperados pronto revelan sus secretos oscuros y pasados ??contaminados.;International TV Shows, TV Dramas, TV Thrillers;Maguy Bou Ghosn, Daniella Rahme, Maxim Khalil, Qays Sheikh Najib, Mohamed Yaghy, Rodney Haddad, Nada Abou Farhat;;Lebanon;December 12, 2020;2020;TV-14;;1 SEASON;7.8
2588;Grizzy et les Lemmings;Gristo fuerte, fuerte, grizzy, gobierna un bosque canadiense, donde tiene sus patas llenas con una familia de lemmings frolicsome.;Kids' TV, TV Comedies;Pierre-Alain de Garrigues, Josselin Charier;;France;December 12, 2020;2018;TV-Y;;2 SEASONS;7
2589;A Trash Truck Christmas;Cuando Santa Crash-Lands en el depósito de chatarra en la víspera de Navidad, Hank, el camión de basura y sus amigos animales tienen una mano para rescatar las vacaciones para todos.;Children & Family Movies;Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio;Eddie Rosas;;December 11, 2020;2020;TV-Y;28;;5.6
2590;Canvas;Después de una pérdida desgarradora, un abuelo que lucha por reclamar su pasión por la pintura encuentra la inspiración para crear nuevamente.;Children & Family Movies, Dramas;;Frank E. Abney III;United States;December 11, 2020;2020;G;9;;6.2
2591;Giving Voice;Seis ambiciosos actores estudiantiles audiciones para la prestigiosa competencia de monólogo de August Wilson, que culminan en una fascinante ronda final en Broadway.;Documentaries;Viola Davis, Denzel Washington, Stephen Henderson, Freedom Martin, Nia Sarfo, Cody Merridith, Gerardo Navarro, Aaron Guy, Callie Holley;James D. Stern, Fernando Villena;;December 11, 2020;2020;PG-13;91;;6.6
2592;The Mess You Leave Behind;Una maestra comienza su trabajo en una escuela secundaria, pero se ve perseguida por una muerte sospechosa que ocurrió allí semanas antes ... y comienza a temer por su propia vida.;International TV Shows, Spanish-Language TV Shows, TV Dramas;Inma Cuesta, Bárbara Lennie, Tamar Novas, Arón Piper, Roberto Enríquez, Roque Ruíz, Isabel Garrido, Fede Pérez, Alfonso Agra, Susana Dans, Xavier Estévez, Xosé Antonio Touriñán, María Tasende, Camila Bossa, María Costas, Abril Zamora, Chelo Falcón, Ana Santos, Mela Casal, César Cambeiro;;Spain;December 11, 2020;2020;TV-MA;;1 SEASON;6.6
2593;The Prom;Un grupo de estrellas de Broadway en la vida sacudiendo una pequeña ciudad de Indiana mientras se unen detrás de una adolescente que solo quiere asistir al baile de graduación con su novia.;Comedies, LGBTQ Movies, Music & Musicals;Meryl Streep, James Corden, Nicole Kidman, Kerry Washington, Andrew Rannells, Keegan-Michael Key, Jo Ellen Pellman, Ariana DeBose, Mary Kay Place, Kevin Chamberlin, Tracey Ullman, Logan Riley, Sofia Deler, Nico Greetham, Nathaniel J. Potvin;Ryan Murphy;;December 11, 2020;2020;PG-13;132;;6.1
2594;Torbaaz;En un campo de refugiados de Afganistán, un ex médico del ejército busca traer alegría a los niños a través del cricket, y pronto se da cuenta de que las apuestas van más allá del deporte.;Dramas, International Movies, Sports Movies;Sanjay Dutt, Nargis Fakhri, Rahul Dev, Priyanka Verma, Kuwaarjeet Chopraa, Aishan Jawaid Malik, Rahul Mittra, Gavie Chahal, Humayun Shams Khan, Babrak Akbari;Girish Malik;;December 11, 2020;2020;TV-MA;133;;6.8
2595;Alice in Borderland;Un jugador sin rumbo y sus dos amigos se encuentran en un Tokio paralelo, donde se ven obligados a competir en una serie de juegos sádicos para sobrevivir.;International TV Shows, TV Action & Adventure, TV Mysteries;Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka;;Japan;December 10, 2020;2020;TV-MA;;1 SEASON;7.5
2596;Funny Boy;Un estudiante debe navegar cuestiones de sexualidad, identidad y familia en medio de la agitación social de Sri Lanka de los años setenta y ochenta.;Dramas, LGBTQ Movies;Brandon Ingram, Nimmi Harasgama, Ali Kazmi, Arush Nand, Agam Darshi, Rehan Mudannayake, Shivantha Wijesinha, Seema Biswas, Hidaayath Hazeer;Deepa Mehta;;December 10, 2020;2020;TV-MA;109;;6.3
2597;Futmalls.com;Los eventos extraños afligen a un grupo de personas después de comprar artículos en un sitio web de compras del futuro.;Crime TV Shows, International TV Shows, TV Dramas;Bryan Chang, Eugenie Liu, Bruce He, Ivy Shao, Allison Lin, River Huang, Ting Chun-cheng, Wang Ko-yuan, Phoebe Huang, Chu Chung-heng, Wu Chien-ho, Camille Chalons;Lai Chun-yu;;December 10, 2020;2020;TV-14;;1 SEASON;6.7
2598;Just The Way You Are;Un adolescente demasiado confiado es que puede hacer que un estudiante de transferencia hogareño se enamore de él en 30 días, pero la apuesta comienza a jugar con su corazón.;International Movies, Romantic Movies;Enrique Gil, Liza Soberano, Yves Flores, Sue Ramirez, Erin Ocampo, Yayo Aguila, Alex Diaz, Jon Lucas, Chienna Filomeno, Marco Gumabao, Myrtle Sarrosa, Kyra Custodio, Miguel Vergara, Tonton Gutierrez, Ricky Davao, Sunshine Cruz;Theodore Boborol;;December 10, 2020;2016;TV-G;107;;6.4
2599;She's the One;Cuando su mejor amigo queda varado bajo la lluvia y se convierte en el tema de un video viral romántico, un presentador de un programa matutino debe enfrentar sus verdaderos sentimientos.;Dramas, International Movies, Romantic Movies;Bea Alonzo, Dingdong Dantes, Enrique Gil;Mae Czarina Cruz;;December 10, 2020;2013;TV-14;111;;6.1
2600;The Panti Sisters;Su padre con enfermedades terminales les dice a tres hermanos homosexuales que debe producir un nieto para heredar su parte de su fortuna.;Comedies, International Movies, LGBTQ Movies;Paolo Ballesteros, Martin del Rosario, Christian Bables, John Arcilla, Carmi Martin, Rosanna Roces, Joross Gamboa, Via Antonio, Roxanne Barcelo;Jun Lana;;December 10, 2020;2019;TV-MA;108;;5.4
2601;Kalel, 15;Rodeado de tensiones y secretos, un adolescente busca validación y navega por la vida con una familia disfuncional después de un diagnóstico de VIH.;Dramas, Independent Movies, International Movies;Elijah Canlas, Eddie Garcia, Jaclyn Jose, Gabby Padilla, Cedrick Juan, Elora Espano, Sue Prado;Jun Lana;;December 10, 2020;2019;TV-MA;105;;7.1
